Label,1C,1X,2C,2X,3C,3X,4C,4X,5C,5X,6C,6X,7C,7X
116.9294/12.86,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132.92455/12.85,0,1,1,1,1,1,0,0,0,1,1,1,1,1
191.0202/1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223.04105/10.43,0,0,0,1,0,0,0,0,0,0,0,0,0,0
237.0574/10.57,0,1,1,1,0,1,0,0,0,1,1,1,0,0
238.0288/10.35,1,1,0,1,1,1,0,0,0,1,0,1,0,0
251.0366/10.42,0,1,0,1,0,1,0,1,0,1,0,1,0,1
253.0525/10.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1
255.2349/11.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1
267.0317/10.94,0,1,0,1,0,1,0,1,0,1,0,1,0,1
267.06825/10.46,1,1,1,1,1,1,1,1,1,1,1,1,1,1
269.04735/10.4,0,1,0,1,1,1,0,0,0,1,0,1,0,0
272.9613/0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277.2188/11.19,0,0,0,1,1,1,0,0,0,0,0,0,0,0
279.2351/11.37,0,1,1,1,1,1,0,1,0,1,1,1,1,1
281.0474/10.58,0,1,0,1,0,1,0,1,0,1,0,1,0,0
281.2507/11.61,1,1,1,1,1,1,1,1,1,1,1,1,1,1
283.0629/10.2,0,1,0,1,0,0,0,0,0,1,0,1,0,0
283.2664/11.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1
293.214/10.76,0,1,1,1,0,0,0,1,0,1,0,0,0,0
295.2299/10.75,0,1,1,1,1,1,0,1,0,1,0,1,1,1
299.2607/11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311.17125/10.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323.2222/11.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0
325.1862/12.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
327.2925/12.12,1,1,1,1,1,1,0,1,0,1,0,1,0,1
329.2352/10.34,0,1,1,1,1,1,0,0,0,0,0,0,0,0
341.1113/1.22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
347.1747/10.83,0,0,1,0,1,1,1,0,0,0,1,1,1,1
351.2536/11.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0
355.324/10.8,1,1,1,1,1,1,0,1,0,1,1,0,0,1
369.3394/11.29,0,1,1,1,1,1,0,1,0,1,0,0,0,0
373.1166/7.11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
377.0883/1.05,1,1,1,1,0,1,1,1,1,1,0,1,1,1
383.3555/11.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1
387.097/8.37,1,1,1,1,1,1,1,1,1,1,1,1,1,0
389.1115/2.87,1,1,1,1,1,1,1,1,1,1,1,1,1,1
397.3708/12.31,0,1,1,1,1,1,0,1,0,1,0,0,0,1
403.3243/10.78,0,0,1,0,1,0,0,0,0,0,0,0,0,0
404.1075/1.11,0,1,0,0,0,0,0,0,0,0,1,1,0,0
405.1065/6.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
405.3402/11.69,1,0,1,0,1,0,1,0,1,0,1,0,1,0
413.1112/9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417.1064/4.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1
431.1224/8.16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
431.35595/11.77,0,0,1,0,1,0,1,0,0,0,1,0,1,0
433.1377/9.47,0,1,0,1,0,0,0,1,1,1,1,1,0,0
443.25/11.49,1,0,1,1,1,0,1,1,1,1,1,1,1,1
445.0951/10.24,0,0,0,0,0,0,0,0,0,0,0,1,0,0
449.0879/9.06,0,1,0,0,0,1,0,0,0,0,0,1,0,0
451.1481/8.49,0,1,1,1,1,1,0,1,1,1,0,1,0,0
455.35445/11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459.11735/9.06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
461.1265/10.26,0,0,0,0,0,0,0,0,0,0,0,1,0,0
469.0685/1.78,1,1,1,1,1,0,1,1,1,0,1,1,1,0
476.1071/9.07,1,0,0,1,1,1,0,1,1,1,1,1,1,1
493.2321/10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.1646/1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
535.1697/9.57,0,1,0,1,0,1,0,1,0,1,0,1,0,1
539.1415/1.05,1,1,0,0,1,1,0,0,1,1,1,1,0,0
549.1705/1.26,1,1,1,1,1,1,1,1,1,1,1,1,1,1
557.0513/10.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0
583.2833/9.76,0,1,1,1,1,1,0,0,1,0,1,0,1,0
599.1136/10.46,1,0,0,0,1,0,0,0,0,0,0,0,0,0
621.44045/11.17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
665.2185/1.53,1,1,1,1,1,1,1,1,1,1,1,1,1,1
679.2154/2.3,0,1,0,0,1,1,1,1,1,1,1,1,1,1
683.2284/1.17,0,1,1,1,1,1,0,1,0,1,0,1,0,1
691.18495/10.44,0,0,0,1,0,0,0,0,0,0,0,1,0,0
701.1954/1.07,1,0,1,1,0,0,1,0,1,0,0,0,1,0
711.22395/1.53,1,1,1,1,1,1,1,1,1,1,1,1,1,1
713.4773/9.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1
723.5063/9.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1
740.4957/9.93,0,1,0,1,0,1,0,0,0,0,0,0,0,0
755.2494/1.47,1,1,0,0,0,1,0,0,0,0,0,0,0,0
760.24225/2.36,1,1,1,1,1,1,1,1,1,1,1,1,1,1
779.22965/2.76,1,0,1,1,1,1,1,1,1,1,1,1,1,0
809.4535/9.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1
818.2659/2.53,1,0,1,1,1,1,0,1,1,1,1,1,1,1
827.2717/1.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1
835.25485/7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841.2687/2.52,1,1,1,1,1,1,1,1,1,1,1,1,1,1
845.2797/1.24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
847.18245/10.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
851.27135/2.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
860.6509/11.89,1,0,0,0,1,0,1,0,1,0,1,1,1,0
863.2493/1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873.27785/1.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1
876.2614/1.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0
877.2191/11.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899.2927/2.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1
